"output" "labor" "capital" "province" "ownership" "industry" "list"
14212 151 1997 15 3 19 0
21233 153 24583 24 2 12 0
12432 155 9644 29 2 18 0
27015 155 14096 28 2 23 0
12700 156 10722 8 2 19 0
88713 156 145195 24 2 4 0
12001 158 10800 25 3 19 0
56619 158 11539 29 3 10 0
143611 158 66055 24 2 29 0
81690 159 22388 11 3 17 0
132594 159 68004 29 3 29 0
14472 160 23420 12 3 4 0
15000 160 6280 24 3 23 0
19208 160 12670 24 5 3 0
21552 160 13750 24 5 16 0
32152 160 2803 24 3 20 0
50000 160 30000 21 3 4 0
54372 160 33662 15 2 4 0
105000 160 63310 15 2 29 0
22374 161 20358 15 5 3 1
12000 165 13889 18 3 4 0
27462 165 12646 15 3 12 0
30139 166 31095 29 5 19 0
24545 167 16010 15 3 17 0
11302 168 20252 14 3 25 0
13600 168 8324 21 3 5 0
15000 170 8300 29 3 5 0
18580 172 23826 29 4 2 0
12170 176 4615 9 3 5 0
14896 176 4820 29 2 20 0
12000 180 6500 10 4 14 0
12001 180 3342 10 2 20 0
12501 180 21136 2 3 17 0
13679 180 16136 29 3 27 0
15000 180 12000 29 5 5 0
15872 180 9043 29 5 12 0
16600 180 34469 15 3 12 0
17287 180 13823 29 3 12 0
21511 180 23314 29 3 12 0
26000 180 6053 15 2 17 0
30620 180 8500 15 3 5 0
32199 180 27508 29 3 17 0
33000 180 28000 29 3 29 0
145097 180 160000 24 3 4 0
34010 182 23777 29 5 27 0
167001 182 71480 12 3 17 0
22487 184 12539 29 5 21 0
21788 185 31009 29 3 25 0
12134 186 5587 15 2 12 0
18156 188 3262 15 5 22 0
20074 188 21017 29 1 3 0
22779 188 51364 3 3 8 0
36386 188 83500 21 1 19 1
19507 189 7685 15 2 18 0
21788 189 31196 29 3 25 0
44203 190 25511 29 5 17 0
12991 191 4943 29 1 12 0
17000 193 10012 15 5 18 0
17731 193 16988 16 3 5 0
21633 196 10128 24 3 19 0
21475 197 8766 29 3 18 0
23041 198 7105 15 5 18 0
12000 200 7710 15 3 5 0
12483 200 2887 29 3 20 0
13646 200 3974 15 3 3 0
16800 200 10264 9 1 25 0
17152 200 14056 29 4 12 0
30940 200 83325 27 3 19 0
36000 200 5000 24 3 17 0
47905 200 247335 24 3 29 1
52000 200 24249 10 2 5 0
54800 200 9500 9 3 17 0
100497 200 3121 15 5 17 0
15845 201 15974 15 2 17 0
12136 205 9521 24 3 25 0
40092 205 10457 18 3 17 0
23988 206 26429 29 4 2 0
103210 208 76179 29 3 12 0
12349 210 10535 29 3 21 0
13346 210 11444 6 3 17 0
13696 210 9222 15 1 18 0
18452 210 13592 15 3 18 0
20000 210 15000 24 2 16 1
23542 213 4438 29 4 12 0
15929 214 3814 5 5 16 0
12847 215 5500 15 3 18 0
100001 216 33316 24 3 29 0
15000 218 16000 29 1 5 0
20653 218 16648 16 2 5 0
12099 220 11093 29 3 3 0
12772 220 1658 21 4 19 0
19581 220 7311 29 4 18 0
15646 221 20144 24 4 18 0
24000 221 25000 15 3 15 0
14856 225 12367 29 4 12 0
21322 225 27029 29 2 7 0
24357 225 37980 15 4 5 0
23192 226 8952 15 5 19 0
36779 226 3408 21 3 17 0
14899 227 4930 29 3 21 0
14520 228 30412 25 3 17 0
13338 230 7770 29 3 5 0
16233 230 8181 24 3 21 0
25680 230 12530 6 4 14 0
15000 236 12358 24 3 3 0
26540 236 12045 21 3 5 0
67014 236 28518 29 2 5 0
12497 239 1498 21 4 19 0
13989 240 12837 24 3 28 0
67300 241 54077 4 3 9 0
15695 242 47312 25 1 4 0
13299 244 13331 29 5 10 0
35058 244 13641 21 6 18 0
85678 244 37734 24 3 4 0
160530 244 40190 6 5 28 0
21913 245 90743 24 2 4 0
23226 245 16587 15 4 22 0
27574 245 17500 29 4 12 0
15081 247 20727 24 1 3 0
15337 247 6456 29 5 21 0
25611 247 28045 29 3 19 0
14483 250 6845 29 4 12 0
15000 250 6707 24 1 3 0
15787 250 7527 29 3 12 0
17425 250 3986 15 2 20 0
18683 250 20479 15 4 5 0
25980 250 7508 15 5 3 0
62725 250 63310 15 2 20 0
121001 250 11201 24 3 12 0
53200 252 5800 15 2 17 0
22767 253 96943 29 5 16 0
22922 253 12549 29 4 5 0
16059 254 44897 29 2 23 0
14777 256 9882 29 3 7 0
12815 257 18505 17 1 4 0
14202 260 5162 15 3 19 0
17570 260 14273 15 5 21 0
47500 260 16082 21 6 22 0
23509 261 19250 29 5 27 0
61337 261 55751 15 5 10 0
23724 264 19154 28 3 25 0
18700 265 18061 29 1 3 0
24832 265 8900 29 2 17 0
27071 265 29332 21 3 28 0
57300 267 18872 15 3 17 0
13852 268 3672 15 2 15 0
14000 268 10720 15 3 18 0
17000 268 9291 15 1 20 0
50000 269 21209 29 1 29 0
22501 270 59156 21 3 18 0
34034 271 7018 29 3 5 0
35130 273 6298 15 3 10 0
12366 274 7482 15 3 5 0
15610 274 16677 20 2 8 0
13619 275 7463 15 2 12 0
14169 275 5046 29 3 18 0
32268 275 9999 2 4 8 0
57688 275 17070 29 3 10 0
18000 280 8200 21 6 17 0
20001 280 5600 15 3 18 1
29600 280 14661 15 3 5 0
16659 281 6600 21 2 5 0
37758 281 11497 24 3 17 0
14500 282 9800 29 3 14 0
16001 283 12100 25 2 22 0
38094 284 46806 17 3 4 0
12078 285 7482 15 3 26 0
12851 285 7569 15 3 10 0
39400 285 27824 24 3 29 0
12291 286 9079 29 3 3 0
16578 286 10336 28 3 17 0
27132 286 15556 6 3 21 0
30080 288 25793 24 2 7 0
14721 290 10811 15 4 21 0
16729 290 11083 15 4 16 0
38259 290 17673 15 5 18 0
150000 293 30000 15 3 17 0
30260 294 14180 29 2 17 0
67848 295 22116 29 3 19 0
66363 296 17216 29 2 25 0
13819 298 13207 29 3 18 0
12929 300 9347 21 4 5 0
14000 300 16000 19 3 12 1
15399 300 22137 22 3 5 0
15925 300 13258 3 3 5 0
18000 300 5500 29 3 12 0
18218 300 9779 15 3 12 0
28000 300 12585 24 3 5 0
29000 300 11855 29 3 17 0
34922 300 12547 15 2 5 0
35522 300 25000 14 3 4 0
40000 300 15000 15 3 29 0
42256 300 37441 29 3 27 0
50000 300 12000 21 3 7 0
52176 300 55001 24 3 8 0
12705 302 5528 29 3 5 0
118954 304 36763 29 3 29 0
12810 305 12001 29 3 12 0
18756 305 900 24 3 8 0
40629 305 14113 29 3 28 0
13688 306 9038 3 6 3 0
14329 306 18777 3 2 25 0
15795 306 6006 15 2 12 0
16279 306 7159 15 3 12 0
35418 306 17760 29 3 18 0
12426 308 14289 20 2 5 0
53283 308 17934 29 2 12 0
12799 310 20776 15 3 25 0
12833 310 5617 15 3 18 0
13259 310 7685 29 3 16 0
17158 310 6039 29 3 12 0
17984 310 11231 29 4 12 0
23586 310 14813 24 4 18 0
29930 310 6817 29 3 5 0
67048 310 57814 15 3 19 0
13200 315 10900 29 3 27 0
15267 315 10145 15 3 18 0
14551 316 18635 29 2 22 0
14600 316 15001 29 3 7 0
41547 316 16500 29 2 3 0
13095 319 9944 29 3 22 0
12008 320 6072 15 3 5 0
12453 320 7400 15 5 25 0
13900 320 8200 15 2 5 0
14900 320 700 25 3 19 0
15001 320 5800 29 3 10 0
16236 320 5262 29 4 3 0
16709 320 16660 21 3 18 0
17144 320 20848 29 3 12 0
23000 320 9868 10 3 18 0
26000 320 28000 21 3 18 0
95892 320 9070 15 3 5 0
12376 325 11076 29 5 18 0
12946 327 19613 13 3 23 0
78001 327 21001 9 3 14 0
13520 328 4249 10 3 19 0
29400 329 15100 29 5 12 0
12870 330 2379 24 5 12 0
13000 330 15320 16 3 4 0
18272 330 4410 9 3 5 0
28817 330 10548 29 2 12 0
13800 332 3050 29 4 27 0
78420 332 31898 5 3 17 0
12002 334 10462 15 1 21 0
12132 336 5792 29 4 21 0
42096 336 31037 29 3 3 0
65292 336 23500 9 3 5 0
23119 338 8821 29 4 12 0
12473 340 5561 12 2 5 0
16077 340 13377 30 3 10 0
24500 340 15300 29 3 3 0
71550 340 35478 21 1 5 0
215702 340 124527 15 3 19 0
23431 343 23176 28 4 25 0
18444 344 14606 24 5 3 0
14000 345 16000 22 2 5 0
34672 346 33434 29 5 20 0
35213 347 57501 29 3 22 0
28000 349 22540 19 3 4 0
12349 350 8579 29 5 18 0
12917 350 6110 29 3 5 0
13000 350 5728 12 2 10 0
13720 350 6118 15 6 25 0
13963 350 10395 15 3 18 0
14224 350 16302 29 2 21 0
14880 350 8475 15 2 18 0
